Version,game_id,score,max_tile,steps,duration_sec
v0,85,11664,512,645,13.681801795959473
v0,86,31840,1024,1482,32.16716122627258
v0,87,13420,512,766,16.646565675735474
v0,88,9088,256,564,11.149851083755491
v0,89,12492,512,684,14.074098348617554
v0,90,23140,1024,1119,24.52400803565979
v0,91,6848,256,432,8.243374109268188
v0,92,16416,512,888,17.59089756011963
v0,93,17496,1024,880,17.180529594421387
v0,94,14316,512,785,16.449415922164917
v0,95,19556,1024,1015,19.78859043121338
v0,96,18104,512,953,18.534749269485477
v0,97,19332,512,1012,20.53912305831909
v0,98,31248,1024,1438,29.306134462356567
v0,99,25848,1024,1260,24.971495151519772
v0,100,9756,256,607,11.873705625534058
v0,101,4436,128,334,6.467990159988403
v1,102,184712,8192,6768,360.471214056015
v1,103,177660,8192,6613,364.5462982654572
v1,104,70788,4096,2964,162.1270010471344
v1,105,12292,512,683,36.8600172996521
v1,106,119088,4096,4524,247.88897252082825
v1,107,122808,4096,4782,262.3073925971985
v1,108,31740,1024,1524,82.29645872116089
v1,109,16080,512,852,45.90561270713806
v1,110,56056,2048,2361,126.34278178215028
v1,111,35308,1024,1680,89.33996677398682
v1,112,6736,256,446,23.400209426879883
v1,113,56796,2048,2535,136.78940343856812
v1,114,28968,1024,1433,77.70947670936584
v1,115,119760,4096,4656,252.8902838230133
v1,116,152640,4096,5868,319.3196301460266
v1,117,53888,2048,2355,127.40457320213318
v1,118,11772,512,649,34.832491874694824
v1,119,33668,1024,1608,85.97911882400513
v1,120,21536,512,1082,58.19219875335693
v1,121,24972,1024,1188,63.79993796348572
v1,122,15548,512,841,43.63841533660889
v1,123,156940,8192,5816,319.6898784637451
v1,124,26880,1024,1351,73.05414366722107
v1,125,15956,1024,816,44.7293267250061
v1,126,53048,2048,2319,124.95267295837402
v1,127,30516,2048,1396,75.15105247497559
v1,128,37372,1024,1709,91.49927091598512
v1,129,81028,4096,3222,175.13654613494873
v1,130,22336,1024,1140,61.20525169372559
v1,131,12440,512,697,36.65820074081421
v1,12,13436,512,771,22.503146648406982
v1,13,15928,512,881,31.228999614715576
v1,14,129388,4096,4961,189.7670154571533
v1,15,107020,4096,4020,175.85937595367432
v1,16,40472,1024,1911,98.26061987876892
v1,17,54612,2048,2357,119.24150395393372
v1,18,29984,1024,1442,78.66134691238403
v1,19,108192,4096,4129,221.5729920864105
v1,20,8284,256,552,33.03741478919983
v1,21,32116,1024,1549,82.23560881614685
v1,22,19500,1024,1020,54.09626770019531
v1,23,15432,512,805,43.69672703742981
v1,24,11988,512,670,36.01492500305176
v1,25,28132,1024,1323,71.89643955230713
v1,26,12296,512,673,36.703627586364746
v1,27,18628,512,1013,55.24377799034119
v1,28,34408,1024,1683,90.8607108592987
v1,29,69784,2048,2902,159.92676663398743
v1,30,16536,512,888,47.77588224411011
v1,31,17796,1024,924,48.856990575790405
v1,32,12480,512,703,38.1031973361969
v1,33,87600,2048,3779,203.71155190467837
v1,34,145280,8192,5324,290.4991207122803
v1,35,113208,4096,4404,239.73652005195615
v1,36,76348,4096,3050,165.69762778282166
v1,37,185616,8192,6759,370.0963451862335
v1,38,85608,4096,3424,187.47823333740237
v1,39,35588,1024,1657,90.12878322601318
v1,40,128392,4096,5016,275.95744037628174
